carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MVNO,KT,스마텔,25320,25320,official_code,스위트3 15GB+(밀리의서재) (+10GB 24개월간 추가 제공),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,15.0,,15.0,False,1Mbps,,,,,unsupported,True,,300,True,,30800,17000,모요 프로모션 할인,7,0,0,,,,,,24,https://www.moyoplan.com/plans/25320,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,25349,25349,official_code,CU 스위트 무제한 15GB+ (+10GB 24개월간 추가 제공),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,15.0,,15.0,False,1Mbps,,15.0,,15.0,quota,True,,300,True,,30800,17000,모요 프로모션 할인,7,0,0,,,,,,14,https://www.moyoplan.com/plans/25349,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,스마텔,27856,27856,official_code,후후 스마트 11GB+,,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,11.0,,11.0,False,3Mbps,2.0,,,,unsupported,True,,,True,,41030,20330,모요 프로모션 할인,7,0,0,,,,,,11,https://www.moyoplan.com/plans/27856,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,31921,31921,official_code,스위트 100GB+(올영 5000),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,LTE,100.0,,100.0,False,5Mbps,,100.0,,100.0,quota,True,,300,True,,48510,25380,모요 프로모션 할인,7,0,0,,,,,,40,https://www.moyoplan.com/plans/31921,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,아이즈모바일,35466,35466,official_code,[S]OK캐쉬백 11GB+,,moyo,True,,,LTE,11.0,,11.0,False,3Mbps,2.0,,,,undisclosed,True,,,True,,48400,26900,모요 프로모션 할인,12,1,0,,,,SOLO결합 데이터 20GB 지급,,30,https://www.moyoplan.com/plans/35466,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,아이즈모바일,35418,35418,official_code,[S]울트라(200분/20GB),,moyo,True,,,LTE,20.0,,20.0,False,,,15.0,,15.0,quota,False,200,,False,100,29700,2900,모요 프로모션 할인,7,0,0,,,,,,1711,https://www.moyoplan.com/plans/35418,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,에이모바일,37212,37212,official_code,A 갓성비 20GB/100분 (기본 10GB+추가 10GB 제공),,moyo,True,,,LTE,10.0,,10.0,False,,,,,,undisclosed,False,100,,False,100,19800,10,모요 프로모션 할인,7,2,1,조선일보 종이신문 1개월 무료 구독 이벤트,,,,네이버페이 5천원 지급 이벤트,5167,https://www.moyoplan.com/plans/37212,2026-08-11T01:43:06.687727+00:00
MVNO,KT,고고모바일,24190,24190,official_code,5G100분/1GB-데이터소진후 자동차단,,moyo,True,,,5G,1.0,,1.0,False,,,,,,within_data,False,100,,False,100,7260,7260,,,2,0,,,,,"3대 마트 상품권, 네이버페이 2만원 | KT유심&배송비 무료",183,https://www.moyoplan.com/plans/24190,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,아이즈모바일,36324,36324,official_code,[L]5G 데이터안심(200분/6GB+),,moyo,True,,,5G,6.0,,6.0,False,1Mbps,,,,,undisclosed,False,200,,False,100,16500,10,모요 프로모션 할인,7,0,0,,,,,,635,https://www.moyoplan.com/plans/36324,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,모빙,37270,37270,official_code,[S] 5G 데이터 15GB,,moyo,True,,,5G,15.0,,15.0,False,,,,,,unsupported,True,,,False,100,13000,13000,,,0,0,,,,,,1078,https://www.moyoplan.com/plans/37270,2026-08-11T01:43:06.687727+00:00
