plan_id,host_mno,plan_name,benefit_category,benefit_name,benefit_service,benefit_tier,benefit_value_won,user_pay_won,is_selectable,select_group,benefit_condition,benefit_detail,source_url
6790,LGU+,보편 안심 유심 15GB 100분,사은품/페이백,네이버페이 1만원,,,10000,,False,,,,https://www.moyoplan.com/plans/6790
6790,LGU+,보편 안심 유심 15GB 100분,사은품/페이백,갤럭시 자급제 이벤트 신세계상품권 10만원,,,100000,,False,,,,https://www.moyoplan.com/plans/6790
6790,LGU+,보편 안심 유심 15GB 100분,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,대상: 1개월 회선 유지 시기: 조건달성한달 5일,https://www.moyoplan.com/plans/6790
6790,LGU+,보편 안심 유심 15GB 100분,추가데이터,"헬로모바일 결합시, 추가 데이터 10GB 증정",,,,,False,,,"대상: 대상 요금제로 결합 완료 시기: 결합일 익일 제공, 익월부터 매월 1일 제공",https://www.moyoplan.com/plans/6790
6790,LGU+,보편 안심 유심 15GB 100분,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,대상: 혜택 지급 시점까지 회선 유지 시기: 조건달성한 달 3주차(9월 3주차),https://www.moyoplan.com/plans/6790
27840,KT,[모요only] 고고딜 무제한 11GB+3M(Npay 5000P)_12개월,사은품/페이백,네이버페이 매달 5천원 페이백(12개월),,,60000,,False,,,,https://www.moyoplan.com/plans/27840
27840,KT,[모요only] 고고딜 무제한 11GB+3M(Npay 5000P)_12개월,사은품/페이백,"마트상품권, 네이버페이 최대 2만원",,,20000,,False,,KT바로유심,,https://www.moyoplan.com/plans/27840
27840,KT,[모요only] 고고딜 무제한 11GB+3M(Npay 5000P)_12개월,추가데이터,추가데이터 20GB 제공,,,,,False,,,,https://www.moyoplan.com/plans/27840
27840,KT,[모요only] 고고딜 무제한 11GB+3M(Npay 5000P)_12개월,사은품/페이백,KT유심&배송비 무료,,,,,False,,,,https://www.moyoplan.com/plans/27840
37123,LGU+,[모요핫딜]5G 음성기본 150GB+5Mbps,사은품/페이백,네이버페이 매달 5천원 페이백 (7개월 간),,,35000,,False,,,,https://www.moyoplan.com/plans/37123
37123,LGU+,[모요핫딜]5G 음성기본 150GB+5Mbps,사은품/페이백,유심/배송비 무료,,,,,False,,,,https://www.moyoplan.com/plans/37123
18885,LGU+,DATA 걱정없는 유심 15GB,사은품/페이백,네이버페이 매달 1.6만원 페이백(8개월),,,128000,,False,,,,https://www.moyoplan.com/plans/18885
18885,LGU+,DATA 걱정없는 유심 15GB,사은품/페이백,갤럭시 자급제 이벤트 신세계상품권 10만원,,,100000,,False,,,,https://www.moyoplan.com/plans/18885
18885,LGU+,DATA 걱정없는 유심 15GB,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,,https://www.moyoplan.com/plans/18885
18885,LGU+,DATA 걱정없는 유심 15GB,추가데이터,"헬로모바일 결합시, 추가 데이터 10GB 증정",,,,,False,,,"대상: 대상 요금제로 결합 완료 시기: 결합일 익일 제공, 익월부터 매월 1일 제공",https://www.moyoplan.com/plans/18885
18885,LGU+,DATA 걱정없는 유심 15GB,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,대상: 혜택 지급 시점까지 회선 유지 시기: 조건달성한 달 3주차(9월 3주차),https://www.moyoplan.com/plans/18885
