carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MNO,LGU+,,LPZ1007671,LPZ1007671,official_code,데이터플랜300MB(복지+0.7GB),,LGU+-복지,False,복지카드 소지 시,,5G,1.0,,1.0,False,400Kbps,,,,,undisclosed,False,125,,False,150,28000,21000,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007671,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007680,LPZ1007680,official_code,데이터플랜14GB(복지),,LGU+-복지,False,복지카드 소지 시,,5G,14.0,,14.0,False,1Mbps,,,,,undisclosed,True,,600,True,,55000,41250,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007680,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007712,LPZ1007712,official_code,데이터플랜9GB(복지+1GB),,LGU+-복지,False,복지카드 소지 시,,5G,10.0,,10.0,False,1Mbps,,,,,undisclosed,True,,600,True,,47000,35250,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007712,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ0001204,LPZ0001204,official_code,LTE 표준 요금제,,LGU+-LTE,False,,,LTE,,,,False,,,,,,undisclosed,False,,,False,50,11990,8992,선택약정 25% 할인,,0,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/lte-all/lte-general/LPZ0001204,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ0002291,LPZ0002291,official_code,LTE 시니어 16.5 요금제(New 시니어 A),,LGU+-LTE,False,만 65세 이상,,LTE,0.293,,0.293,False,400Kbps,,,,,undisclosed,False,100,,False,150,16500,12375,선택약정 25% 할인,,0,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/lte-all/lte-senior/LPZ0002291,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ0002473,LPZ0002473,official_code,LTE 키즈 22(만 12세 이하),,LGU+-LTE,False,만 12세 이하,,LTE,0.684,,0.684,False,400Kbps,,,,,undisclosed,False,60,,True,,22000,16500,선택약정 25% 할인,,0,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/lte-all/lte-youth/LPZ0002473,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ0002506,LPZ0002506,official_code,현역병사 데이터 33,,LGU+-LTE,False,현역병사,,LTE,2.0,,2.0,False,3Mbps,,,,,undisclosed,True,,110,True,,33000,24750,선택약정 25% 할인,,0,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/lte-all/lte-soldier/LPZ0002506,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ0000596,LPZ0000596,official_code,LTE 다이렉트 22,,LGU+-온라인가입전용(너겟),True,,,LTE,1.8,,1.8,False,400Kbps,,,,,undisclosed,True,,100,True,,22000,,,,0,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/direct/nerget/LPZ0000596,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1004890,LPZ1004890,official_code,너겟46,,LGU+-온라인가입전용(너겟),True,,,5G,81.0,,81.0,False,3Mbps,,50.0,,50.0,quota,True,,300,True,,46000,,,,0,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/direct/nerget/LPZ1004890,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1004893,LPZ1004893,official_code,너겟43,,LGU+-온라인가입전용(너겟),True,,,5G,40.0,,40.0,False,1Mbps,,,,,undisclosed,True,,300,True,,43000,,,,0,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/direct/nerget/LPZ1004893,2026-08-12T00:22:06.440169+00:00
